posting_id,primary_role,city,seniority,salary_avg,has_salary,description_length,pull_date
5760050046,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5786785060,Business Analyst,Bangalore,Senior,,0,500,2026-07-04
5774751862,Business Analyst,Bangalore,Senior,,0,500,2026-07-04
5767358753,Business Analyst,Bangalore,Mid,600000.0,1,500,2026-07-04
4725867393,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5778381990,Business Analyst,Bangalore,Senior,,0,500,2026-07-04
1509166858,Business Analyst,Bangalore,Unknown,600000.0,1,500,2026-07-04
5040689008,Business Analyst,Bangalore,Mid,600000.0,1,439,2026-07-04
1788701062,Business Analyst,Bangalore,Unknown,500000.0,1,500,2026-07-04
5727082142,Business Analyst,Bangalore,Mid,,0,500,2026-07-04
5719182260,Business Analyst,Bangalore,Junior,425000.0,1,500,2026-07-04
5782687597,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5740849440,Business Analyst,Bangalore,Unknown,510000.0,1,500,2026-07-04
3266737478,Business Analyst,Bangalore,Unknown,1350000.0,1,500,2026-07-04
5727133034,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5120355680,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
3502543793,Business Analyst,Bangalore,Unknown,2000000.0,1,500,2026-07-04
5686224076,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5727114831,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5684977514,Business Analyst,Bangalore,Mid,1000000.0,1,500,2026-07-04
5778430828,Business Analyst,Bangalore,Mid,,0,500,2026-07-04
5329695686,Business Analyst,Bangalore,Mid,,0,500,2026-07-04
5042641487,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5211779262,Business Analyst,Bangalore,Senior,1500000.0,1,500,2026-07-04
5779644561,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
3048034030,Business Analyst,Bangalore,Junior,800000.0,1,500,2026-07-04
5610830994,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
2853928094,Business Analyst,Bangalore,Unknown,1500000.0,1,500,2026-07-04
5724954859,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5761953954,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5721961285,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5266460273,Business Analyst,Bangalore,Senior,1250000.0,1,500,2026-07-04
2050583377,Business Analyst,Bangalore,Junior,,0,500,2026-07-04
4514376922,Business Analyst,Bangalore,Senior,1800000.0,1,500,2026-07-04
4120526848,Business Analyst,Bangalore,Mid,600000.0,1,500,2026-07-04
5700556670,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5725582395,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5777263169,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
1510562896,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5772546243,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
5782690943,Business Analyst,Bangalore,Unknown,,0,500,2026-07-04
